matches	category	city	state	title	url
0	Bid and Project Management	Vélizy-Villacoublay	Yvelines	Bid Manager (H/F)	https://careers.thalesgroup.com/global/en/job/R0322393/Bid-Manager-H-F
0	Software	Toulouse	Haute-Garonne	Ingénieur IVVQ sur les Systèmes ATC (Air Traffic Control) (H/F)	https://careers.thalesgroup.com/global/en/job/R0286933/Ingénieur-IVVQ-sur-les-Systèmes-ATC-Air-Traffic-Control-H-F
0	Software	Toulouse	Haute-Garonne	Ingénieur Architecte Logiciel sur Systèmes ATM (F/H)	https://careers.thalesgroup.com/global/en/job/R0316601/Ingénieur-Architecte-Logiciel-sur-Systèmes-ATM-F-H
0	Bid and Project Management	Gennevilliers	Hauts-de-Seine	Responsable Offres et Projets Connectivité SATCOM F/H	https://careers.thalesgroup.com/global/en/job/R0322738/Responsable-Offres-et-Projets-Connectivité-SATCOM-F-H
0	Industry	La Ferté-Saint-Aubin	Loiret	Responsable Produits Série - F/H	https://careers.thalesgroup.com/global/en/job/R0325083/Responsable-Produits-Série-F-H
0	Industry	Étrelles	Ille-et-Vilaine	Technicien de Test F/H	https://careers.thalesgroup.com/global/en/job/R0240375/Technicien-de-Test-F-H
0	Software	Élancourt	Yvelines	Ingénieur Logiciel Moyens de Test (F/H)	https://careers.thalesgroup.com/global/en/job/R0319024/Ingénieur-Logiciel-Moyens-de-Test-F-H
0	Bid and Project Management	Toulouse	Haute-Garonne	Chef de projets Infrastructure (F/H)	https://careers.thalesgroup.com/global/en/job/R0313975/Chef-de-projets-Infrastructure-F-H
0	Software	Toulouse	Haute-Garonne	Ingénieur IVVQ Système bord ou sol dans le Spatial (F/H)	https://careers.thalesgroup.com/global/en/job/R0315887/Ingénieur-IVVQ-Système-bord-ou-sol-dans-le-Spatial-F-H
0	Engineering and Technical Management	Élancourt	Yvelines	Engineering Delivery Manager Radar (F/H)	https://careers.thalesgroup.com/global/en/job/R0317160/Engineering-Delivery-Manager-Radar-F-H
0	Software	Paris	Paris	Expert Landing Zone & IAM Google Cloud  H/F	https://careers.thalesgroup.com/global/en/job/R0305847/Expert-Landing-Zone-IAM-Google-Cloud-H-F
